,Song,Artist,Weeks On #1,Weeks On Chart,Peak Rank
116,What We Ain't Got,Jake Owen,0,11,89
117,Geronimo,Sheppard,0,21,53
118,A Guy Walks Into A Bar,Tyler Farr,0,20,51
119,Take It On Back,Chase Bryant,0,8,82
120,Ain't Worth The Whiskey,Cole Swindell,0,19,43
121,I Mean It,G-Eazy Featuring Remo,0,4,98
122,Elastic Heart,Sia,0,30,17
123,Ayo,Chris Brown & Tyga,0,20,21
124,Love Me Like You Do,Ellie Goulding,0,34,3
125,Irresistible,Fall Out Boy,0,14,48
126,Best Friends,Sophia Grace,0,0,87
127,Not For Long,B.o.B Featuring Trey Songz,0,9,80
128,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,0,37,13
129,All About It,Hoodie Allen Featuring Ed Sheeran,0,4,71
130,Sugar,Robin Schulz Featuring Francesco Yates,0,42,2
131,Heartbeat Song,Kelly Clarkson,0,20,21
132,Homegrown,Zac Brown Band,0,20,35
133,Uma Thurman,Fall Out Boy,0,27,22
134,Glory,Common & John Legend,0,3,49
135,Say You Do,Dierks Bentley,0,18,52
136,The Body,Wale Featuring Jeremih,0,6,87
137,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,0,20,4
138,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,0,20,14
139,Worth It,Fifth Harmony Featuring Kid Ink,0,36,12
140,Trap Queen,Fetty Wap,0,52,2
141,Somebody,Natalie La Rose Featuring Jeremih,0,26,10
142,Immortals,Fall Out Boy,0,8,72
143,Slow Motion,Trey Songz,0,26,26
144,Shots,Imagine Dragons,0,3,75
145,Budapest,George Ezra,0,23,32
146,Chains,Nick Jonas,0,20,13
147,Talking Body,Tove Lo,0,30,12
148,I Bet,Ciara,0,14,43
149,Work It,"Missy ""Misdemeanor"" Elliott",0,26,35
150,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",0,25,40
151,Blessings,Chance The Rapper Featuring Ty Dolla $ign,0,20,28
152,Lay Me Down,Sam Smith,0,20,8
153,A Little Too Much,Shawn Mendes,0,0,94
154,Hotel,Kid Ink Featuring Chris Brown,0,0,96
155,Out The Speakers,A-Trak + Milo & Otis Featuring Rich Kidz,0,0,98
156,Girl Crush,Little Big Town,0,24,18
157,Energy,Drake,0,20,26
158,Little Red Wagon,Miranda Lambert,0,11,55
159,One Last Time,Ariana Grande,0,20,13
160,Preach,YoungBoy Never Broke Again,0,2,82
161,Legend,Drake,0,12,52
162,10 Bands,Drake,0,13,58
163,Used To,Drake Featuring Lil Wayne,0,2,84
164,Where You Belong,The Weeknd,0,0,95
165,"Honey, I'm Good.",Andy Grammer,0,31,9
166,I Put A Spell On You,Annie Lennox,0,0,97
167,Keep Your Money,Empire Cast Featuring Jussie Smollett,0,0,99
168,What Kind Of Man,Florence + The Machine,0,2,88
169,Wonderland,Taylor Swift,0,0,51
170,Know Yourself,Drake,0,20,53
171,No Tellin',Drake,0,2,81
172,6 God,Drake,0,0,83
173,Now & Forever,Drake,0,0,95
174,6 Man,Drake,0,0,97
175,Go Hard Or Go Home,Wiz Khalifa & Iggy Azalea,0,2,86
176,I Want You To Know,Zedd Featuring Selena Gomez,0,16,17
177,First Kiss,Kid Rock,0,0,66
178,You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz,0,4,47
179,All Your Fault,Big Sean Featuring Kanye West,0,0,80
180,You Are In Love,Taylor Swift,0,0,83
181,Nobody Love,Tori Kelly,0,11,60
182,Smoke,A Thousand Horses,0,20,47
183,Raise 'Em Up,Keith Urban Featuring Eric Church,0,14,56
184,One Man Can Change The World,Big Sean Featuring Kanye West & John Legend,0,10,82
185,Watch Me,Silento,0,51,3
186,Paradise,Big Sean,0,0,99
187,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",0,15,15
188,Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,0,2,42
189,I Really Like You,Carly Rae Jepsen,0,20,39
190,New Romantics,Taylor Swift,0,8,46
191,Don't It,Billy Currington,0,20,44
192,Adore,Cashmere Cat Featuring Ariana Grande,0,0,93
193,She Don't Love You,Eric Paslay,0,12,77
194,Monster,Meek Mill,0,3,73
195,Where Are U Now,Skrillex & Diplo With Justin Bieber,0,45,8
196,Believe,Mumford & Sons,0,15,31
197,Want To Want Me,Jason Derulo,0,35,5
198,Games,Luke Bryan,0,5,92
199,Bills,LunchMoney Lewis,0,6,79
200,Bright,Echosmith,0,20,40
201,Wild Child,Kenny Chesney With Grace Potter,0,15,56
202,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,0,17,55
203,Little Toy Guns,Carrie Underwood,0,18,47
204,See You Again,Wiz Khalifa Featuring Charlie Puth,12,52,1
205,King Kunta,Kendrick Lamar,0,11,58
206,The Blacker The Berry,Kendrick Lamar,0,0,66
207,Alright,Kendrick Lamar,0,14,81
208,Fairly Local,twenty one pilots,0,0,84
209,Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat,0,0,91
210,These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",0,0,94
211,Sippin' On Fire,Florida Georgia Line,0,20,40
212,Institutionalized,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",0,0,99
213,B**** Better Have My Money,Rihanna,0,23,15
214,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,0,30,56
215,Trouble,Iggy Azalea Featuring Jennifer Hudson,0,5,67
216,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",0,24,8
217,Failure,Breaking Benjamin,0,0,80
218,Baby Blue,Action Bronson Featuring Chance The Rapper,0,0,91
219,Love You Like That,Canaan Smith,0,20,46
220,You Know You Like It,DJ Snake & AlunaGeorge,0,21,13
221,Like A Wrecking Ball,Eric Church,0,22,51
222,Get Low,Zedd & Liam Payne,0,9,61
223,The Matrimony,Wale Featuring Usher,0,19,70
224,Good Lovin,Ludacris Featuring Miguel,0,2,91
225,Love Me Like You Mean It,Kelsea Ballerini,0,18,45
226,Commas,Future,0,20,55
227,Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",0,3,70
228,Tear In My Heart,twenty one pilots,0,8,82
229,Crash And Burn,Thomas Rhett,0,20,36
230,Goodbye,Who Is Fancy,0,0,98
231,Baby Be My Love Song,Easton Corbin,0,16,56
232,Lean On,Major Lazer & DJ Snake Featuring MO,0,48,4
233,Nasty Freestyle,T-Wayne,0,20,9
234,Fight Song,Rachel Platten,0,31,6
235,American Oxygen,Rihanna,0,4,78
236,Sangria,Blake Shelton,0,20,38
237,Be Real,Kid Ink Featuring DeJ Loaf,0,20,43
238,Imagine,Sawyer Fredericks,0,5,24
239,Renegades,X Ambassadors,0,35,17
240,House Of The Rising Sun,Kimberly Nichole,0,0,100
241,Hallelujah,Pentatonix,0,11,23
242,Nothing Without Love,Nate Ruess,0,4,77
243,Nasty,Bandit Gang Marco Featuring Dro,0,9,41
244,Make It Rain,Koryn Hawthorne,0,0,84
245,Cheerleader,OMI,6,35,1
246,Flex (Ooh Ooh Ooh),Rich Homie Quan,0,27,26
247,I Don't Get Tired (#IDGT),Kevin Gates Featuring August Alsina,0,9,90
248,Iris,Sawyer Fredericks,0,0,100
249,Simple Man,Sawyer Fredericks,0,0,71
250,Infinity,One Direction,0,2,54
251,Stressed Out,twenty one pilots,0,52,2
252,Flicka Da Wrist,Chedda Da Connect,0,4,94
253,Tonight Looks Good On You,Jason Aldean,0,18,46
254,One Hell Of An Amen,Brantley Gilbert,0,18,44
255,Crushin' It,Brad Paisley,0,15,66
256,Pretty Girls,Britney Spears & Iggy Azalea,0,8,29
257,Coffee,Miguel,0,3,78
258,I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi",0,8,66
259,Classic Man,Jidenna Featuring Roman GianArthur,0,21,22
260,The Night Is Still Young,Nicki Minaj,0,17,31
261,Shine On,Sawyer Fredericks,0,0,99
262,I'm Comin' Over,Chris Young,0,23,33
263,This Summer's Gonna Hurt...,Maroon 5,0,13,23
264,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",0,15,68
265,Fun,Pitbull Featuring Chris Brown,0,15,40
266,Photograph,J. Cole,0,30,10
267,Beautiful Life,Nick Fradiani,0,0,93
268,A Thousand Years,Sawyer Fredericks,0,0,94
269,Kick The Dust Up,Luke Bryan,0,20,26
270,Please,Sawyer Fredericks,0,0,37
271,Old Man,Sawyer Fredericks,0,0,63
272,Flashlight,Jessie J,0,7,61
273,Beautiful Now,Zedd Featuring Jon Bellion,0,14,64
274,Change My Mind,Meghan Linsey,0,0,92
275,The Hills,The Weeknd,6,48,1
276,L$D,A$AP Rocky,0,3,62
277,Electric Body,A$AP Rocky Featuring ScHoolboy Q,0,2,80
278,Stitches,Shawn Mendes,0,52,4
279,Loving You Easy,Zac Brown Band,0,17,40
280,Young & Crazy,Frankie Ballard,0,15,55
281,Buy Me A Boat,Chris Janson,0,20,41
282,You Changed Me,Jamie Foxx Featuring Chris Brown,0,2,93
283,Kiss You In The Morning,Michael Ray,0,14,55
284,Planez,Jeremih Featuring J. Cole,0,20,44
285,Phenomenal,Eminem,0,0,47
286,"Ulay, Oh",How I Became The Bomb,0,0,58
287,House Party,Sam Hunt,0,20,26
288,Everyday,Logic & Marshmello,0,13,29
289,Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B,0,7,90
290,Hell Of A Night,Dustin Lynch,0,16,55
291,Can't Feel My Face,The Weeknd,0,41,1
